File,Endpoint,Function,Service,Pipeline,Serializer,Frontend Component
api/routes/batch.py,POST /batch,process_batch_json,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/batch.py,POST /batch/upload,process_batch_upload,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/batch.py,POST /batch/process,process_batch_htmx,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/export.py,POST /export,export_results,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/export.py,POST /export/download,download_export,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/export.py,POST /export/profile,export_latest_history_profile,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/export.py,POST /export/preview,preview_export,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/export.py,GET /export/profiles,export_profiles,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/export.py,GET /export/history,export_history,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/export.py,GET /export/formats,get_supported_formats,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/analysis.py,POST /analyze,analyze_molecule_json,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/analysis.py,POST /analyse,analyze_molecule_json,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/analysis.py,POST /resolve,resolve_input,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/analysis.py,GET /examples,get_example_molecules,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/analysis.py,POST /funcgroups,functional_groups,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/history.py,GET /history,list_history,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/history.py,GET /history/{record_id},get_history_item,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/history.py,DELETE /history/{record_id},delete_history_item,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/history.py,GET /history/table,history_table_partial,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/history.py,DELETE /history/{record_id}/row,delete_history_row,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/app.py,GET /,dashboard,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/app.py,GET /analysis,analysis_page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/app.py,GET /batch,batch_page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/app.py,GET /spectra,spectra_page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/app.py,GET /history,history_page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/app.py,GET /exports,exports_page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/app.py,GET /validation,validation_page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/app.py,GET /benchmarks,benchmarks_page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/app.py,GET /docking,docking_page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/app.py,GET /settings,settings_page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/app.py,GET /docs,docs_page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/app.py,POST /analyse,analyse_page,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/app.py,GET /health,health_check,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/structure.py,GET /structure.png,structure_png,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/structure.py,GET /structure.svg,structure_svg,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/validation.py,POST /validation/run,run_validation,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/docking.py,POST /docking/generate,generate_docking,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/spectra.py,POST /ir,predict_ir,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/spectra.py,POST /hnmr,predict_proton_nmr,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/spectra.py,POST /cnmr,predict_carbon_nmr,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
api/routes/benchmarks.py,POST /benchmarks/run,run_benchmarks,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
