source,event_type,event_name,target_endpoint
static/js/app.js,addEventListener,keydown,N/A
static/js/app.js,addEventListener,DOMContentLoaded,N/A
static/js/app.js,addEventListener,input,N/A
static/js/app.js,fetch,API Call,/health
static/js/app.js,fetch,API Call,/api/batch/upload
static/js/app.js,fetch,API Call,/api/export
static/js/app.js,fetch,API Call,/api/resolve
static/js/shell.js,addEventListener,keydown,N/A
static/js/shell.js,addEventListener,click,N/A
static/js/shell.js,fetch,API Call,/api/export/preview
static/js/shell.js,fetch,API Call,/api/export/download
static/js/utils.js,addEventListener,mouseenter,N/A
static/js/utils.js,addEventListener,mouseleave,N/A
static/js/utils.js,addEventListener,htmx:responseError,N/A
static/js/utils.js,addEventListener,htmx:error,N/A
static/js/workbench.js,addEventListener,click,N/A
static/js/workbench.js,addEventListener,input,N/A
templates/analysis.html (inline),addEventListener,htmx:afterSwap,N/A
templates/analysis.html (inline),addEventListener,click,N/A
templates/benchmarks.html (inline),addEventListener,click,N/A
templates/benchmarks.html (inline),fetch,API Call,/api/benchmarks/run
templates/docking.html (inline),addEventListener,submit,N/A
templates/docking.html (inline),fetch,API Call,/api/docking/generate
templates/validation.html (inline),addEventListener,click,N/A
templates/validation.html (inline),fetch,API Call,/api/validation/run
